"Notes"	"Year"	"Year Code"	"State"	"State Code"	Deaths	Population	Crude Rate
	"2006"	"2006"	"Hawaii"	"15"	54	1309731	4.1
	"2006"	"2006"	"Idaho"	"16"	70	1468669	4.8
	"2006"	"2006"	"Illinois"	"17"	870	12643955	6.9
	"2006"	"2006"	"Indiana"	"18"	176	6332669	2.8
	"2006"	"2006"	"Iowa"	"19"	93	2982644	3.1
	"2006"	"2006"	"Kansas"	"20"	120	2762931	4.3
	"2006"	"2006"	"Kentucky"	"21"	331	4219239	7.8
	"2006"	"2006"	"Louisiana"	"22"	194	4302665	4.5
	"2006"	"2006"	"Maine"	"23"	93	1323619	7.0
	"2006"	"2006"	"Maryland"	"24"	565	5627367	10.0
	"2006"	"2006"	"Massachusetts"	"25"	659	6410084	10.3
	"2006"	"2006"	"Michigan"	"26"	594	10036081	5.9
	"2006"	"2006"	"Minnesota"	"27"	158	5163555	3.1
	"2006"	"2006"	"Mississippi"	"28"	65	2904978	2.2
	"2006"	"2006"	"Missouri"	"29"	403	5842704	6.9
	"2006"	"2006"	"Montana"	"30"	47	952692	4.9
	"2006"	"2006"	"Nebraska"	"31"	34	1772693	1.9
	"2006"	"2006"	"Nevada"	"32"	343	2522658	13.6
	"2006"	"2006"	"New Hampshire"	"33"	104	1308389	7.9
	"2006"	"2006"	"New Jersey"	"34"	372	8661679	4.3
	"2006"	"2006"	"New Mexico"	"35"	243	1962137	12.4
	"2006"	"2006"	"New York"	"36"	1010	19104631	5.3
	"2006"	"2006"	"North Carolina"	"37"	696	8917270	7.8
	"2006"	"2006"	"North Dakota"	"38"	Suppressed	649422	Suppressed
	"2006"	"2006"	"Ohio"	"39"	634	11481213	5.5
	"2006"	"2006"	"Oklahoma"	"40"	383	3594090	10.7
	"2006"	"2006"	"Oregon"	"41"	359	3670883	9.8
	"2006"	"2006"	"Pennsylvania"	"42"	418	12510809	3.3
	"2006"	"2006"	"Rhode Island"	"44"	130	1063096	12.2
	"2006"	"2006"	"South Carolina"	"45"	214	4357847	4.9
	"2006"	"2006"	"South Dakota"	"46"	23	783033	2.9
	"2006"	"2006"	"Tennessee"	"47"	470	6088766	7.7
	"2006"	"2006"	"Texas"	"48"	1067	23359580	4.6
	"2006"	"2006"	"Utah"	"49"	331	2525507	13.1
	"2006"	"2006"	"Vermont"	"50"	57	622892	9.2
	"2006"	"2006"	"Virginia"	"51"	408	7673725	5.3
	"2006"	"2006"	"Washington"	"53"	661	6370753	10.4
	"2006"	"2006"	"West Virginia"	"54"	285	1827912	15.6
	"2006"	"2006"	"Wisconsin"	"55"	334	5577655	6.0
	"2006"	"2006"	"Wyoming"	"56"	14	522667	Unreliable
	"2007"	"2007"	"Alabama"	"01"	165	4672840	3.5
	"2007"	"2007"	"Alaska"	"02"	15	680300	Unreliable
	"2007"	"2007"	"Arizona"	"04"	461	6167681	7.5
	"2007"	"2007"	"Arkansas"	"05"	148	2848650	5.2
	"2007"	"2007"	"California"	"06"	1657	36250311	4.6
	"2007"	"2007"	"Colorado"	"08"	353	4803868	7.3
	"2007"	"2007"	"Connecticut"	"09"	244	3527270	6.9
	"2007"	"2007"	"Delaware"	"10"	45	871749	5.2
	"2007"	"2007"	"District of Columbia"	"11"	29	574404	5.0
	"2007"	"2007"	"Florida"	"12"	1473	18367842	8.0
	"2007"	"2007"	"Georgia"	"13"	385	9349988	4.1
	"2007"	"2007"	"Hawaii"	"15"	78	1315675	5.9
	"2007"	"2007"	"Idaho"	"16"	62	1505105	4.1
	"2007"	"2007"	"Illinois"	"17"	691	12695866	5.4
	"2007"	"2007"	"Indiana"	"18"	241	6379599	3.8
	"2007"	"2007"	"Iowa"	"19"	107	2999212	3.6
	"2007"	"2007"	"Kansas"	"20"	117	2783785	4.2
	"2007"	"2007"	"Kentucky"	"21"	343	4256672	8.1
